doc_freq,posting_ptr,term_ptr,term_length
2,156640,3070,2
6,156656,3072,3
1,156704,3075,4
1,156712,3079,9
4,156720,3088,2
1,156752,3090,9
2,156760,3099,2
1,156776,3101,9
5,156784,3110,2
6,156824,3112,2
6,156872,3114,2
4,156920,3116,2
4,156952,3118,2
99,156984,3120,2
1,157776,3122,5
1,157784,3127,7
1,157792,3134,2
1,157800,3136,2
1,157808,3138,7
4,157816,3145,2
1,157848,3147,3
13,157856,3150,2
1,157960,3152,6
13,157968,3158,4
1,158072,3162,7
1,158080,3169,2
1,158088,3171,2
4,158096,3173,12
5,158128,3185,5
26,158168,3190,6
23,158376,3196,2
2,158560,3198,3
1,158576,3201,4
1,158584,3205,5
6,158592,3210,3
1,158640,3213,4
5,158648,3217,3
6,158688,3220,2
31,158736,3222,3
2,158984,3225,3
4,159000,3228,2
1,159032,3230,3
1,159040,3233,3
29,159048,3236,3
33,159280,3239,3
2,159544,3242,2
1,159560,3244,3
5,159568,3247,2
4,159608,3249,2
3,159640,3251,2
4,159664,3253,2
5,159696,3255,2
4,159736,3257,2
1,159768,3259,3
2,159776,3262,2
4,159792,3264,2
133,159824,3266,6
2,160888,3272,2
1,160904,3274,6
1,160912,3280,2
28,160920,3282,5
1,161144,3287,8
78,161152,3295,2
6,161776,3297,3
160,161824,3300,5
1,163104,3305,15
2,163112,3320,4
1,163128,3324,7
1,163136,3331,12
1,163144,3343,7
1,163152,3350,7
13,163160,3357,3
3,163264,3360,2
2,163288,3362,3
6,163304,3365,2
117,163352,3367,3
1,164288,3370,3
4,164296,3373,2
1,164328,3375,8
4,164336,3383,2
8,164368,3385,2
3,164432,3387,4
61,164456,3391,3
2,164944,3394,4
1,164960,3398,5
1,164968,3403,6
1,164976,3409,4
5,164984,3413,2
8,165024,3415,2
1,165088,3417,3
4,165096,3420,2
1,165128,3422,4
7,165136,3426,2
1,165192,3428,3
87,165200,3431,6
3,165896,3437,3
1,165920,3440,2
55,165928,3442,5
8,166368,3447,15
96,166432,3462,6
40,167200,3468,2
1,167520,3470,3
13,167528,3473,8
1,167632,3481,3
20,167640,3484,3
3,167800,3487,2
2,167824,3489,3
1,167840,3492,3
4,167848,3495,2
5,167880,3497,2
1,167920,3499,3
7,167928,3502,2
6,167984,3504,2
1,168032,3506,4
8,168040,3510,4
4,168104,3514,2
3,168136,3516,3
12,168160,3519,3
1,168256,3522,5
1,168264,3527,3
352,168272,3530,2
3,171088,3532,4
4,171112,3536,2
1,171144,3538,2
7,171152,3540,3
1,171208,3543,2
3,171216,3545,2
137,171240,3547,5
3,172336,3552,6
51,172360,3558,2
1,172768,3560,3
32,172776,3563,3
1,173032,3566,4
27,173040,3570,3
1,173256,3573,2
1,173264,3575,3
2,173272,3578,3
5,173288,3581,2
2,173328,3583,3
18,173344,3586,4
134,173488,3590,4
39,174560,3594,4
5,174872,3598,2
5,174912,3600,2
2,174952,3602,2
4,174968,3604,2
1,175000,3606,2
23,175008,3608,2
4,175192,3610,3
17,175224,3613,2
179,175360,3615,5
131,176792,3620,2
42,177840,3622,3
72,178176,3625,3
19,178752,3628,2
1,178904,3630,3
11,178912,3633,2
10,179000,3635,7
1,179080,3642,9
1,179088,3651,9
11,179096,3660,2
1,179184,3662,4
5,179192,3666,2
8,179232,3668,2
6,179296,3670,2
13,179344,3672,2
10,179448,3674,2
1,179528,3676,3
1,179536,3679,12
24,179544,3691,2
1,179736,3693,4
1,179744,3697,3
1,179752,3700,5
1,179760,3705,3
12,179768,3708,2
88,179864,3710,5
1,180568,3715,3
455,180576,3718,2
2,184216,3720,3
1,184232,3723,3
272,184240,3726,3
24,186416,3729,2
2,186608,3731,3
31,186624,3734,2
1,186872,3736,3
30,186880,3739,2
33,187120,3741,2
37,187384,3743,2
1,187680,3745,4
20,187688,3749,2
34,187848,3751,2
29,188120,3753,2
125,188352,3755,2
1,189352,3757,5
6,189360,3762,2
2,189408,3764,2
1,189424,3766,6
11,189432,3772,5
903,189520,3777,1
5,196744,3778,2
1,196784,3780,3
1,196792,3783,3
1,196800,3786,3
2,196808,3789,3
1,196824,3792,3
1,196832,3795,3
1,196840,3798,6
2,196848,3804,6
1,196864,3810,6
2,196872,3816,6
5,196888,3822,6
9,196928,3828,6
79,197000,3834,6
2,197632,3840,2
244,197648,3842,6
25,199600,3848,5
25,199800,3853,6
1,200000,3859,3
1,200008,3862,3
1,200016,3865,3
2,200024,3868,2
1,200040,3870,3
1,200048,3873,3
1,200056,3876,3
1,200064,3879,3
1,200072,3882,2
1,200080,3884,2
1,200088,3886,3
1,200096,3889,3
1,200104,3892,3
2,200112,3895,2
1,200128,3897,3
2,200136,3900,3
1,200152,3903,3
1,200160,3906,3
1,200168,3909,2
1,200176,3911,3
1,200184,3914,3
1,200192,3917,3
1,200200,3920,3
1,200208,3923,3
2,200216,3926,3
2,200232,3929,2
1,200248,3931,3
3,200256,3934,2
1,200280,3936,3
1,200288,3939,3
107,200296,3942,2
63,201152,3944,3
5,201656,3947,5
3,201696,3952,9
6,201720,3961,9
2,201768,3970,2
1,201784,3972,4
5,201792,3976,3
1,201832,3979,5
1,201840,3984,2
1,201848,3986,12
39,201856,3998,3
150,202168,4001,3
1,203368,4004,6
4,203376,4010,8
1,203408,4018,8
1,203416,4026,16
1,203424,4042,2
1,203432,4044,3
1,203440,4047,4
5,203448,4051,5
1,203488,4056,3
5,203496,4059,2
48,203536,4061,11
32,203920,4072,3
21,204176,4075,5
19,204344,4080,6
2,204496,4086,7
4,204512,4093,2
1,204544,4095,5
1,204552,4100,6
4,204560,4106,3
1,204592,4109,4
1,204600,4113,2
13,204608,4115,2
1,204712,4117,3
1,204720,4120,4
3,204728,4124,8
1,204752,4132,5
1,204760,4137,4
2,204768,4141,2
8,204784,4143,7
6,204848,4150,6
2,204896,4156,7
1,204912,4163,6
1,204920,4169,5
1,204928,4174,5
1,204936,4179,3
1,204944,4182,5
1,204952,4187,6
51,204960,4193,2
7,205368,4195,3
10,205424,4198,3
1,205504,4201,6
2,205512,4207,7
3,205528,4214,8
75,205552,4222,13
1,206152,4235,6
2,206160,4241,7
1,206176,4248,7
4,206184,4255,3
1,206216,4258,8
1,206224,4266,8
2,206232,4274,13
1,206248,4287,8
1,206256,4295,7
17,206264,4302,9
106,206400,4311,5
4,207248,4316,4
1,207280,4320,4
1,207288,4324,9
2,207296,4333,2
1,207312,4335,5
1,207320,4340,5
4,207328,4345,2
13,207360,4347,7
2,207464,4354,8
1,207480,4362,8
1,207488,4370,3
2,207496,4373,7
1,207512,4380,4
1,207520,4384,5
1,207528,4389,3
1,207536,4392,7
1,207544,4399,5
2,207552,4404,2
2,207568,4406,9
1,207584,4415,6
5,207592,4421,3
4,207632,4424,2
1,207664,4426,3
1,207672,4429,6
1,207680,4435,6
5,207688,4441,2
1,207728,4443,6
1,207736,4449,6
195,207744,4455,3
1,209304,4458,5
1,209312,4463,2
2,209320,4465,3
1,209336,4468,2
1,209344,4470,3
1,209352,4473,5
1,209360,4478,9
1,209368,4487,10
104,209376,4497,5
2,210208,4502,7
1,210224,4509,17
7,210232,4526,5
3,210288,4531,12
2,210312,4543,12
1,210328,4555,9
1,210336,4564,11
2,210344,4575,13
1,210360,4588,10
2,210368,4598,5
1,210384,4603,15
1,210392,4618,3
1,210400,4621,10
1,210408,4631,7
4,210416,4638,7
4,210448,4645,14
1,210480,4659,8
6,210488,4667,8
51,210536,4675,5
1,210944,4680,11
1,210952,4691,9
4,210960,4700,13
13,210992,4713,11
1,211096,4724,14
13,211104,4738,8
2,211208,4746,7
1,211224,4753,6
4,211232,4759,6
30,211264,4765,8
1,211504,4773,16
2,211512,4789,7
1,211528,4796,8
1,211536,4804,5
2,211544,4809,3
291,211560,4812,6
4,213888,4818,11
1,213920,4829,8
1,213928,4837,2
1,213936,4839,5
9,213944,4844,4
1,214016,4848,11
2,214024,4859,9
1,214040,4868,10
1,214048,4878,10
1,214056,4888,10
1,214064,4898,12
1,214072,4910,12
2,214080,4922,11
1,214096,4933,9
5,214104,4942,5
5,214144,4947,7
32,214184,4954,11
4,214440,4965,16
7,214472,4981,8
1,214528,4989,6
1,214536,4995,3
1,214544,4998,16
3,214552,5014,22
1,214576,5036,5
1,214584,5041,16
4,214592,5057,11
1,214624,5068,8
2,214632,5076,5
2,214648,5081,6
3,214664,5087,6
1,214688,5093,11
1,214696,5104,13
1,214704,5117,10
1,214712,5127,12
1,214720,5139,14
6,214728,5153,6
5,214776,5159,11
1,214816,5170,12
1,214824,5182,10
1,214832,5192,13
4,214840,5205,9
241,214872,5214,9
1,216800,5223,10
1,216808,5233,8
1,216816,5241,6
1,216824,5247,20
1,216832,5267,6
2,216840,5273,6
1,216856,5279,7
39,216864,5286,11
7,217176,5297,7
1,217232,5304,10
1,217240,5314,11
1,217248,5325,5
8,217256,5330,6
1,217320,5336,7
5,217328,5343,5
1,217368,5348,9
5,217376,5357,5
1,217416,5362,6
1,217424,5368,14
1,217432,5382,13
1,217440,5395,6
16,217448,5401,3
1,217576,5404,4
1,217584,5408,4
1,217592,5412,7
9,217600,5419,5
2,217672,5424,3
1,217688,5427,14
1,217696,5441,10
1,217704,5451,7
3,217712,5458,7
1,217736,5465,8
1,217744,5473,19
1,217752,5492,5
1,217760,5497,8
2,217768,5505,2
1,217784,5507,8
1,217792,5515,5
1,217800,5520,10
1,217808,5530,4
1,217816,5534,6
1,217824,5540,7
1,217832,5547,5
5,217840,5552,3
1,217880,5555,11
1,217888,5566,6
2,217896,5572,7
1,217912,5579,13
1,217920,5592,2
1,217928,5594,7
1,217936,5601,7
1,217944,5608,3
1,217952,5611,10
1,217960,5621,4
2,217968,5625,5
2,217984,5630,13
1,218000,5643,5
5,218008,5648,13
1,218048,5661,7
11,218056,5668,2
1,218144,5670,6
10,218152,5676,8
1,218232,5684,7
1,218240,5691,5
1,218248,5696,9
1,218256,5705,14
1,218264,5719,11
24,218272,5730,4
2,218464,5734,9
1,218480,5743,8
1,218488,5751,11
1,218496,5762,8
1,218504,5770,7
2,218512,5777,9
1,218528,5786,8
1,218536,5794,10
15,218544,5804,11
1,218664,5815,10
1,218672,5825,10
3,218680,5835,9
1,218704,5844,6
1,218712,5850,16
2,218720,5866,6
1,218736,5872,5
3,218744,5877,4
4,218768,5881,6
5,218800,5887,12
1,218840,5899,12
1,218848,5911,7
1,218856,5918,15
1,218864,5933,14
1,218872,5947,9
1,218880,5956,5
1,218888,5961,9
5,218896,5970,4
7,218936,5974,11
6,218992,5985,9
1,219040,5994,16
1,219048,6010,13
1,219056,6023,17
4,219064,6040,13
3,219096,6053,17
3,219120,6070,25
2,219144,6095,25
1,219160,6120,4
1,219168,6124,14
1,219176,6138,17
1,219184,6155,4
3,219192,6159,10
1,219216,6169,17
1,219224,6186,16
9,219232,6202,4
1,219304,6206,5
1,219312,6211,10
1,219320,6221,9
1,219328,6230,5
2,219336,6235,10
12,219352,6245,9
2,219448,6254,14
1,219464,6268,13
2,219472,6281,9
2,219488,6290,9
1,219504,6299,18
1,219512,6317,15
1,219520,6332,18
1,219528,6350,6
2,219536,6356,12
1,219552,6368,12
1,219560,6380,10
5,219568,6390,7
1,219608,6397,11
3,219616,6408,11
3,219640,6419,13
9,219664,6432,6
2,219736,6438,14
2,219752,6452,15
6,219768,6467,12
4,219816,6479,3
5,219848,6482,9
6,219888,6491,5
22,219936,6496,9
1,220112,6505,10
1,220120,6515,17
3,220128,6532,8
1,220152,6540,11
1,220160,6551,15
1,220168,6566,14
1,220176,6580,10
10,220184,6590,5
1,220264,6595,6
1,220272,6601,5
2,220280,6606,6
2,220296,6612,12
2,220312,6624,12
1,220328,6636,10
1,220336,6646,8
85,220344,6654,3
1,221024,6657,18
33,221032,6675,16
1,221296,6691,5
1,221304,6696,11
1,221312,6707,12
15,221320,6719,5
1,221440,6724,11
1,221448,6735,11
1,221456,6746,10
1,221464,6756,9
1,221472,6765,12
1,221480,6777,6
1,221488,6783,7
3,221496,6790,13
1,221520,6803,8
1,221528,6811,8
5,221536,6819,5
4,221576,6824,6
1,221608,6830,8
6,221616,6838,9
1,221664,6847,6
4,221672,6853,5
6,221704,6858,6
2,221752,6864,6
2,221768,6870,4
1,221784,6874,7
1,221792,6881,9
3,221800,6890,2
1,221824,6892,7
2,221832,6899,7
6,221848,6906,6
1,221896,6912,10
3,221904,6922,10
1,221928,6932,12
1,221936,6944,13
1,221944,6957,14
3,221952,6971,14
1,221976,6985,5
1,221984,6990,6
1,221992,6996,6
1,222000,7002,6
2,222008,7008,13
2,222024,7021,7
1,222040,7028,5
2,222048,7033,12
3,222064,7045,9
58,222088,7054,3
1,222552,7057,8
1,222560,7065,9
15,222568,7074,6
2,222688,7080,4
1,222704,7084,8
1,222712,7092,8
440,222720,7100,7
2,226240,7107,14
352,226256,7121,8
1,229072,7129,14
8,229080,7143,13
6,229144,7156,13
72,229192,7169,12
1,229768,7181,16
1,229776,7197,12
1,229784,7209,15
49,229792,7224,13
2,230184,7237,11
6,230200,7248,24
2,230248,7272,7
1,230264,7279,7
10,230272,7286,7
1,230352,7293,5
1,230360,7298,6
1,230368,7304,4
1,230376,7308,4
1,230384,7312,6
1,230392,7318,9
27,230400,7327,4
6,230616,7331,3
3,230664,7334,8
1,230688,7342,12
1,230696,7354,9
1,230704,7363,10
1,230712,7373,7
1,230720,7380,8
1,230728,7388,8
1,230736,7396,8
3,230744,7404,2
1,230768,7406,19
1,230776,7425,5
13,230784,7430,5
9,230888,7435,6
1,230960,7441,5
1,230968,7446,11
1,230976,7457,7
1,230984,7464,7
4,230992,7471,3
1,231024,7474,7
1,231032,7481,8
9,231040,7489,8
1,231112,7497,13
2,231120,7510,5
2,231136,7515,14
1,231152,7529,14
3,231160,7543,12
2,231184,7555,4
1,231200,7559,6
2,231208,7565,13
2,231224,7578,6
1,231240,7584,18
1,231248,7602,17
21,231256,7619,6
4,231424,7625,13
1,231456,7638,12
3,231464,7650,12
1,231488,7662,13
1,231496,7675,14
1,231504,7689,13
2,231512,7702,17
1,231528,7719,13
1,231536,7732,17
1,231544,7749,12
1,231552,7761,11
3,231560,7772,12
1,231584,7784,12
1,231592,7796,15
1,231600,7811,10
7,231608,7821,13
1,231664,7834,7
1,231672,7841,12
9,231680,7853,7
1,231752,7860,13
2,231760,7873,12
1,231776,7885,6
1,231784,7891,7
18,231792,7898,4
1,231936,7902,9
5,231944,7911,10
1,231984,7921,11
1,231992,7932,9
1,232000,7941,10
1,232008,7951,9
1,232016,7960,11
4,232024,7971,10
1,232056,7981,11
2,232064,7992,12
5,232080,8004,13
4,232120,8017,21
1,232152,8038,11
1,232160,8049,13
8,232168,8062,3
7,232232,8065,6
1,232288,8071,8
4,232296,8079,5
1,232328,8084,10
2,232336,8094,6
3,232352,8100,10
1,232376,8110,14
1,232384,8124,13
3,232392,8137,10
1,232416,8147,10
28,232424,8157,11
10,232648,8168,8
11,232728,8176,13
4,232816,8189,13
1,232848,8202,9
1,232856,8211,12
4,232864,8223,6
1,232896,8229,9
1,232904,8238,7
2,232912,8245,6
1,232928,8251,5
2,232936,8256,5
1,232952,8261,12
2,232960,8273,14
1,232976,8287,9
1,232984,8296,10
1,232992,8306,4
37,233000,8310,6
3,233296,8316,7
33,233320,8323,8
19,233584,8331,12
10,233736,8343,13
2,233816,8356,17
199,233832,8373,9
1,235424,8382,14
37,235432,8396,10
1,235728,8406,9
168,235736,8415,5
22,237080,8420,10
4,237256,8430,10
14,237288,8440,7
1,237400,8447,11
1,237408,8458,6
4,237416,8464,7
1,237448,8471,5
1,237456,8476,7
6,237464,8483,3
2,237512,8486,11
2,237528,8497,6
1,237544,8503,9
11,237552,8512,4
2,237640,8516,16
5,237656,8532,9
1,237696,8541,12
1,237704,8553,10
4,237712,8563,12
1,237744,8575,12
1,237752,8587,17
4,237760,8604,10
1,237792,8614,14
2,237800,8628,10
2,237816,8638,14
2,237832,8652,12
2,237848,8664,10
1,237864,8674,14
1,237872,8688,7
2,237880,8695,6
25,237896,8701,4
