word,offset,length
吉祥寺,20384,3
真意,20387,29
大白,20416,39
库存,20455,53
倏得,20508,53
老陀,20561,6
之别,20567,3
六颗,20570,12
尼克,20582,9
学佛,20591,3
电骡,20594,3
精巧,20597,3
光棍,20600,3
PB,20603,3
未刊,20606,3
福楼拜,20609,6
stories,20615,58
落泪,20673,9
夏金,20682,3
100,20685,101
女作,20786,4
定义,20790,9
好勁,20799,5
0910,20804,9
无比,20813,6
推算,20819,3
张爱,20822,34
古宅,20856,4
古今,20860,52
伊豆,20912,3
叶渭渠,20915,3
craft,20918,4
委派,20922,6
勵婕,20928,25
探密,20953,3
KITE,20956,3
垂危,20959,3
5327,20962,3
数据,20965,9
隐秀,20974,3
biz,20977,41
没,21018,397
探索,21415,58
attitude,21473,7
格雷,21480,6
一叹,21486,3
內容,21489,3
暖味纯,21492,3
超,21495,57
痨,21552,14
1960,21566,9
诗句,21575,3
书书,21578,12
Czekh,21590,3
归为,21593,4
才子,21597,65
主万,21662,3
小屋,21665,13
鹿鹿子,21678,14
好天,21692,4
skind,21696,3
深秋,21699,3
万卷书,21702,6
搞笑,21708,224
战地记者,21932,3
K,21935,207
情愫,22142,125
之路,22267,50
晃师,22317,3
手感,22320,6
看出,22326,6
小绘本,22332,6
尘儿,22338,28
乐于,22366,3
骨子里,22369,3
釋,22372,3
mylife,22375,6
太小,22381,7
心甘情愿,22388,3
08,22391,402
怀,22793,4
银河系,22797,3
莲花,22800,25
控,22825,23
回,22848,28
得分,22876,3
2011a,22879,3
认知科学,22882,4
母爱,22886,3
Serfdom,22889,3
一生,22892,59
取得,22951,10
策划,22961,35
乱读,22996,167
主义,23163,52
伊恩,23215,4
地痞,23219,36
北家,23255,3
Flaubert,23258,3
舒师,23261,18
普通,23279,29
EthelLilianVoynich,23308,3
遇,23311,9
全世愛,23320,4
历史学,23324,66
韓少,23390,4
凡间,23394,35
WJ,23429,5
Day,23434,3
浮沉,23437,18
才女,23455,37
Wangxiaobo,23492,12
乡下人,23504,3
大赛,23507,6
纸,23513,14
通往,23527,8
自科,23535,7
论说,23542,12
朱鄂,23554,4
奥勒留,23558,4
20090102,23562,4
范儿,23566,15
细琐,23581,3
声色,23584,3
男男女女,23587,3
mark,23590,9
改革,23599,29
以今,23628,3
影集,23631,9
续集,23640,6
Maeterlinck,23646,3
人民音乐出版社,23649,3
mayday,23652,3
Yoshitsuki,23655,3
黑猫,23658,6
要读,23664,15
大手笔,23679,6
小东西,23685,4
奔小康,23689,4
废寝忘食,23693,3
李光头,23696,6
there,23702,77
显示,23779,3
VladimirVladimirovichNabokov,23782,3
插图本,23785,15
那道题,23800,3
爱亦舒,23803,3
学着点,23806,3
金河仁,23809,3
十三,23812,3
书院,23815,3
半,23818,63
半途而废,23881,18
博朗,23899,3
花間,23902,9
体味,23911,52
形容词,23963,93
私享,24056,7
☼,24063,17
渡邊淳,24080,9
二零,24089,7
容错过,24096,18
百分之百,24114,3
尼琴,24117,4
譚集,24121,3
度过,24124,15
重述,24139,16
neverman,24155,5
小品文,24160,20
大风,24180,6
營銷,24186,31
看起来,24217,33
单人床,24250,3
1962,24253,4
石黑谦,24257,3
phycology,24260,3
云海,24263,3
算不上,24266,3
齐藤千穗,24269,6
近代,24275,105
作对,24380,3
American,24383,95
中外,24478,25
德尔,24503,3
哲性,24506,4
长青,24510,3
个人日记,24513,6
恋,24519,25
浮动,24544,4
Eutopia,24548,3
半黑,24551,4
体育,24555,9
两本,24564,6
无处,24570,17
职,24587,9
魔幻现实主义,24596,64
大奥,24660,4
Lawrence,24664,6
每日,24670,63
折颜,24733,4
繪本,24737,255
市井,24992,9
原典,25001,3
逃犯,25004,3
小時,25007,98
小林,25105,3
JunjiIto,25108,6
秘史,25114,5
王军,25119,3
契合,25122,19
集部,25141,14
编辑部,25155,4
玛格丽特,25159,26
不厚,25185,6
once,25191,6
之王,25197,3
无声,25200,4
電影書,25204,12
智子,25216,6
一经,25222,108
financing,25330,3
勾心斗角,25333,6
影響,25339,3
终南山,25342,3
麳,25345,3
异性,25348,3
Italo,25351,19
征婚,25370,15
快乐,25385,121
前世,25506,3
女生,25509,44
型號,25553,6
ma,25559,3
200703,25562,3
牛年,25565,15
草地,25580,9
georgeorwell,25589,3
vision,25592,6
十月,25598,9
JohnnyDepp,25607,4
盲人,25611,3
量子力学,25614,10
担当,25624,14
动漫,25638,252
good,25890,59
史乘,25949,153
莉,26102,4
未分类,26106,17
固力果,26123,3
Dylan,26126,3
体制,26129,12
聂永真,26141,7
张悦,26148,17
争夺,26165,3
酷,26168,12
波浪,26180,30
clue,26210,42
屌,26252,3
做不来,26255,3
Rebecca,26258,3
新闻,26261,45
行万里路,26306,3
隨便,26309,3
次第,26312,6
台港,26318,64
天龙,26382,3
沉落,26385,3
凉艳,26388,3
網站,26391,3
本港台,26394,3
Manbooker,26397,4
分尸,26401,4
taste,26405,21
longago,26426,3
平常,26429,6
穆如,26435,3
茨威,26438,3
如面,26441,3
素年,26444,29
平行线,26473,6
罗丽控,26479,3
years,26482,6
一次次,26488,4
源式,26492,3
蛋疼,26495,38
horror,26533,3
雪,26536,8
邓,26544,9
magicni,26553,6
坠落,26559,6
大餐,26565,11
洞见,26576,15
None,26591,54
一语,26645,30
琚,26675,31
隐涩,26706,4
默,26710,6
特区,26716,3
图少,26719,8
romantic,26727,9
成熟,26736,30
masterpiece,26766,14
曾子墨,26780,3
2007read,26783,15
滴,26798,17
活者,26815,3
事宜,26818,30
事件簿,26848,3
神人,26851,10
有计划,26861,6
Zaf,26867,3
易读,26870,4
两地,26874,8
线,26882,3
愈发,26885,4
某個,26889,3
判断,26892,50
山居,26942,5
自厌者,26947,3
浪費,26950,3
迷迷濛濛,26953,7
不公,26960,4
架,26964,203
吃透,27167,3
青漫,27170,18
格调,27188,6
颓,27194,12
鲍勃,27206,3
佳品,27209,7
多得,27216,3
男女关系,27219,3
BOOK,27222,219
恋物,27441,26
解闷,27467,12
历史背景,27479,10
BING,27489,4
貓生,27493,3
manager,27496,3
七年,27499,24
文坛,27523,9
拍成,27532,3
悔悟,27535,3
弗洛,27538,3
余味,27541,4
寶寶,27545,3
头顶,27548,3
之伤,27551,3
摩顿森,27554,4
外借,27558,39
weather,27597,4
危机意识,27601,3
汪小波,27604,13
鸠,27617,3
分子,27620,32
刘惠卿,27652,4
两性,27656,52
功夫,27708,49
便知,27757,3
明史,27760,34
国史,27794,29
解構,27823,3
胡侃,27826,9
secret,27835,7
激烈,27842,4
瞎掰,27846,3
名词,27849,3
Woody,27852,3
AmantsDeLaNuit,27855,3
ビ,27858,3
孟星魂,27861,3
CM,27864,7
Fav,27871,44
体香,27915,3
巴比伦,27918,3
快門,27921,3
产生,27924,40
骚塞,27964,3
来点,27967,3
干脆,27970,20
给面子,27990,3
雜文雜,27993,3
六哥,27996,4
遥不可及,28000,6
Affects,28006,3
津巴,28009,3
fine,28012,5
印良品,28017,3
keyi,28020,3
阿來,28023,3
收场,28026,31
兒童,28057,75
合法性,28132,3
如梦,28135,6
建国,28141,3
Laureates,28144,3
纯纯,28147,6
王怡穎,28153,6
月裳,28159,4
島田,28163,5
与世浮沉,28168,34
CharlotteBront,28202,3
漫友系,28205,25
Young,28230,3
高桥,28233,10
男书,28243,56
刚昌,28299,3
俱为,28302,14
天文学,28316,3
郭四,28319,8
六七十年代,28327,13
harry,28340,22
谢尔,28362,5
西汉,28367,3
文科,28370,6
最爱康,28376,12
后现代,28388,80
federal,28468,3
当时,28471,135
墓志铭,28606,4
游记,28610,312
淡思,28922,3
夜草,28925,3
partof,28928,5
神宫,28933,3
名字,28936,50
算,28986,33
佛陀,29019,3
哪般,29022,12
齐白石,29034,3
終點,29037,9
情不自尽,29046,6
明信片,29052,3
怒,29055,6
Words,29061,15
汇编,29076,9
1984,29085,38
挥洒,29123,3
查特,29126,3
幽暗,29129,9
禅说,29138,3
一篇,29141,6
文学批评,29147,12
食谱,29159,6
单骑,29165,4
怪力乱神,29169,11
Orwell,29180,15
有时候,29195,3
EditionsdeParis,29198,4
92,29202,3
如旧,29205,6
nationalism,29211,3
30,29214,32
滚滚红尘,29246,3
玖,29249,9
簡體,29258,27
CD,29285,3
山谷,29288,3
Block,29291,3
诡异,29294,88
毒,29382,12
崔莺莺,29394,3
癖,29397,32
⑦,29429,3
生,29432,31
希斯,29463,3
懈怠,29466,6
品牌,29472,9
不斷,29481,3
香瓜,29484,4
í,29488,6
磨,29494,3
玉器,29497,3
廖桑,29500,4
政史,29504,5
名过其实,29509,9
The,29518,52
暗黑,29570,26
特征,29596,3
KimEdwards,29599,4
entrepreneurship,29603,3
徐迟,29606,3
摩根斯坦利,29609,3
pul,29612,4
刚刚,29616,3
外国,29619,789
越女剑,30408,3
之外,30411,168
应,30579,12
偶滴,30591,6
9star,30597,18
之翼,30615,3
吕不韦,30618,4
完结,30622,82
高二,30704,15
狗狗,30719,9
闲杂,30728,86
而定,30814,3
Brazil,30817,4
地站,30821,4
家居,30825,23
Ruiz,30848,3
比得过,30851,3
爬,30854,10
damdam,30864,12
那本,30876,10
岁,30886,462
巴基斯坦,31348,4
Camus,31352,7
微风,31359,3
Free,31362,3
HaraKenya,31365,3
